,sequence,labels,scores
10,This is the way the world ends: with a nanosecond of computer error in a Defense Department laboratory and a million casual contacts that form the links in a chain letter of death. And here is the bleak new world of the day after: a world stripped of its institutions and emptied of 99 percent of its people. A world in which a handful of panicky survivors choose sides -- or are chosen.,"['death', 'weddings', 'relationships', 'break ups', 'family', 'divorce', 'university', 'friendship']","[0.9762617945671082, 0.6825808882713318, 0.11712168157100677, 0.09647022187709808, 0.05147557705640793, 0.014945593662559986, 0.012838337570428848, 0.01187343243509531]"
11,"London is picking up the pieces after a near-Apocalypse—a comet has just missed the Earth, leaving the city in chaos.The streets have taken on a frenzied air, and swindlers and circus performers have come to town to take advantage of the confusion. In this time of uncertainty, only the blind boy oracle,Tersias, can see what the future holds. But awareness of his power is growing, and he is captured by Solomon, a false prophet whose purple-robed minions swarm London, looking for disciples. Tersias is just what Solomon needs, and with Tersias under his control, Solomon believes he’s finally in a position to complete his master plan. Tersias is not without friends—an unlikely alliance of teenage highwaymen and a charlatan magician swear to break down Solomon’s Citadel and rescue Tersias from his clutches. They wonder if Tersias’s power can save them all—but they haven’t realized the source of his second sight, and they aren’t aware of a much darker force that torments his soul . . .","['weddings', 'friendship', 'relationships', 'family', 'death', 'break ups', 'university', 'divorce']","[0.5597400665283203, 0.4791005551815033, 0.28820618987083435, 0.25524625182151794, 0.2231503576040268, 0.15685062110424042, 0.12020394951105118, 0.07140453159809113]"
12,"Natalie Cleary must risk her future and leap blindly into a vast unknown for the chance to build a new world with the boy she loves.  Natalie’s last summer in her small Kentucky hometown is off to a magical start... until she starts seeing the “wrong things.” They’re just momentary glimpses at first—her front door is red instead of its usual green, there’s a pre-school where the garden store should be. But then her whole town disappears for hours, fading away into rolling hills and grazing buffalo, and Nat knows something isn’t right. That’s when she gets a visit from the kind but mysterious apparition she calls “Grandmother,” who tells her: “You have three months to save him.” The next night, under the stadium lights of the high school football field, she meets a beautiful boy named Beau, and it’s as if time just stops and nothing exists. Nothing, except Natalie and Beau. Emily Henry’s stunning debut novel is Friday Night Lights meets The Time Traveler’s Wife, and perfectly captures those bittersweet months after high school, when we dream not only of the future, but of all the roads and paths we’ve left untaken.","['weddings', 'relationships', 'break ups', 'friendship', 'family', 'divorce', 'university', 'death']","[0.39727747440338135, 0.28817659616470337, 0.15911252796649933, 0.14362333714962006, 0.13550937175750732, 0.1341916024684906, 0.10826766490936279, 0.1028737872838974]"
13,"It all began when the half-able wizard Questor Thews announced that finally he could restore the Court Scribe Abernathy to human form. All went well until the wizard breahed the magic dust of his spell and suddenly sneezed. Then, where Abernathy had stood, there was only a bottle containing a particularly evil imp, who soon escapes.","['weddings', 'family', 'relationships', 'university', 'death', 'break ups', 'divorce', 'friendship']","[0.7157585620880127, 0.18396534025669098, 0.1671825796365738, 0.10603702813386917, 0.08449781686067581, 0.06294477730989456, 0.02314215898513794, 0.021478800103068352]"
14,"From Mexico’s preeminent man of letters, “a Balzacian novel in nine masterly stories” (Vanity Fair) that explores the “uneven and painful meshing of two North american cultures” (Washington Post Book World). A New York Times Notable Book of the Year. A Los Angeles Times Best Book of the Year. Translated by Alfred Mac Adam.
","['relationships', 'family', 'weddings', 'friendship', 'university', 'break ups', 'divorce', 'death']","[0.35028964281082153, 0.13130205869674683, 0.03511025011539459, 0.03378723934292793, 0.027473099529743195, 0.024935463443398476, 0.024196002632379532, 0.011885443702340126]"
15,"When the narrator of White's poised yet scalding autobiographical novel first embarks on his sexual odyssey, it is the 1950s, and America is ""a big gray country of families on drowsy holiday."" That country has no room for a scholarly teenager with guilty but insatiable stirrings toward other men. Moving from a Midwestern college to the Stonewall Tavern on the night of the first gay uprising--and populated by eloquent queens, butch poseurs, and a fearfully incompetent shrink--The Beautiful Room is Empty conflates the acts of coming out and coming of age.","['weddings', 'family', 'relationships', 'university', 'break ups', 'divorce', 'friendship', 'death']","[0.4355463981628418, 0.2191726714372635, 0.11180189996957779, 0.06740771979093552, 0.04540984705090523, 0.04251021519303322, 0.02431025728583336, 0.019837820902466774]"
16," The biggest mystery of all...and Reed is dying to learn the truth.    Two months after Cheyenne Martin was found dead in her Billings House dorm room, exclusive Easton Academy is rocked by another stunning revelation: Cheyenne was murdered. No one knows who the killer is, but everyone agrees that Reed Brennan, who took over Cheyenne's role as Billings's president, gained the most from her death. Once the most powerful girl on campus, Reed is now powerless to stop her classmates' accusing whispers. Rumors begin to swirl that she killed Cheyenne.   And just like that, Reed is kicked out of Billings.   She's lost everything -- her friends, her home, her boyfriend -- and Reed knows the only way to get it all back is to figure out who really murdered Cheyenne. And she has to do it fast because the killer is still out there. The more Reed investigates, the more she uncovers. And as any Billings Girl knows...secrets can be deadly.","['weddings', 'death', 'university', 'break ups', 'family', 'relationships', 'divorce', 'friendship']","[0.8317278623580933, 0.5662952661514282, 0.36074554920196533, 0.3096305727958679, 0.3009522557258606, 0.17532742023468018, 0.12238139659166336, 0.08930348604917526]"
17,"When Vic Wilcox, MD of Pringle's engineering works, meets English lecturer Dr Robyn Penrose, sparks fly as their lifestyles and ideologies collide head on. But, in time, both parties make some surprising discoveries about each other's worlds - and about themselves.","['relationships', 'friendship', 'university', 'family', 'weddings', 'divorce', 'break ups', 'death']","[0.8713030815124512, 0.4564533531665802, 0.2561810612678528, 0.06415097415447235, 0.027811789885163307, 0.015880074352025986, 0.007028181105852127, 0.0038716604467481375]"
18,"Fifteen-year-old Landon Wicker is psychokinetic, but the tragic unleashing of his abilities forces him to run from everything he knows. Alone, terrified and unable to remember the events that compelled him to flee, Landon fights to survive and understand what's happening to him. He finds solace, however, in the company of hundreds of psychokinetics like him when he's brought to the Gymnasium.Forced into a life where people don't just see - but control - the world around them and teenagers lift city buses with a thought, Landon struggles to accept his new reality and the guilt over his painful secret. But everything changes when a chance encounter with a mysterious girl propels him on a hunt for answers. Uncovering dark truths the Gymnasium would do anything to keep hidden, Landon must choose where his loyalties lie.Will Landon accept his past - and his future? Will he discover the truth? What's hidden in the Restricted Tower, and who is Artemis?","['weddings', 'relationships', 'family', 'friendship', 'break ups', 'death', 'divorce', 'university']","[0.5901592969894409, 0.46925878524780273, 0.2885127067565918, 0.2463892251253128, 0.19339080154895782, 0.12131109088659286, 0.07420488446950912, 0.06057967618107796]"
19,"Wilhelmina has a hundred enemies. HER FRIENDS HAVE TURNED. After her identity is revealed during the Inundation, Princess Wilhelmina is kept prisoner by the Indigo Kingdom, with the Ospreys lost somewhere in the devastated city. When the Ospreys’ leader emerges at the worst possible moment, leaving Wil’s biggest ally on his deathbed, she must become Black Knife to set things right.  HER MAGIC IS UNCONTROLLABLE. Wil’s power is to animate, not to give true life, but in the wraithland she commanded a cloud of wraith mist to save herself, and later ordered it solid. Now there is a living boy made of wraith—destructive and deadly, and willing to do anything for her. HER HEART IS TORN. Though she’s ready for her crown, declaring herself queen means war. Caught between what she wants and what is right, Wilhelmina realizes the throne might not even matter. Everyone thought the wraith was years off, but already it’s destroying Indigo Kingdom villages. If she can’t protect both kingdoms, soon there won’t be a land to rule. In this stunning conclusion to THE ORPHAN QUEEN, Jodi Meadows follows Wilhelmina’s breathtaking and brave journey from orphaned criminal on the streets to magic-wielding queen.","['weddings', 'relationships', 'university', 'family', 'divorce', 'break ups', 'friendship', 'death']","[0.5063538551330566, 0.47072261571884155, 0.40553417801856995, 0.16917729377746582, 0.1314445585012436, 0.08442264795303345, 0.0671427845954895, 0.03598858416080475]"
20,"When Grace’s beloved sister Glory dies in a car crash, her life spirals out of control. She discovers Glory was indebted to a local crime lord and laundering money through her café. What’s worse, Grace is now forced to take over.Defying her anxiety, Grace will stop at nothing to save herself and those Glory left behind from the clutches of Glasgow’s underworld. But her plans unravel when more family secrets emerge and Grace is driven to question everything she believed about her sister – even her death.Could Glory’s accident have been murder?","['family', 'death', 'weddings', 'relationships', 'break ups', 'divorce', 'university', 'friendship']","[0.976280927658081, 0.8896402716636658, 0.7183456420898438, 0.1983489841222763, 0.08640081435441971, 0.04830164089798927, 0.037982624024152756, 0.019790584221482277]"
21,"With this new thriller, The New York Times bestselling author Tami Hoag delivers her own message to suspense fans everywhere: Don't turn off the lights, and keep reading if you dare. From the gritty streets of Los Angeles to its most protected enclaves of prestige and power to the ruthless glamour of Hollywood, a killer stalks his prey. A killer so merciless no one in his way is safe—not even the innocent.At the end of a long day battling street traffic, bike messenger Jace Damon has one last drop to make. But en route to delivering a package for one of L.A.'s sleaziest defense attorneys, he's nearly run down by a car, chased through back alleys, and shot at. Only the instincts acquired while growing up on the streets of L.A. allow him to escape with his life—and with the package someone wants badly enough to kill for. Jace returns to Lenny Lowell's office only to find the cops there, the lawyer dead, and Jace himself considered the prime suspect in the savage murder. Suddenly he's on the run from both the cops and a killer, and the key to saving himself and his ten-year-old brother is the envelope he still has—which holds a message no one wants delivered: the truth.In a city fueled by money, celebrity, and sensationalism, the murder of a bottom-feeding mouthpiece like Lenny Lowell won't make the headlines. So when detectives from the LAPD's elite robbery/homicide division show up, homicide detective Kev Parker wants to know why. Parker is on the downhill slide of a once-promising career, and he doesn't want to be reminded that he used to be one of the hotshots, working cases that made instant celebrities of everyone involved. Like the case of fading retty-boy actor Rob Cole, accused of the brutal murder of his wife, Tricia Crowne-Cole, daughter of one of the most powerful men in the city, L.A.'s latest ""crime of the century.""Robbery/Homicide has no reason to be looking at a dead small-time scumbag lawyer or chasing a bike messenger...unless there's something in it for them. Maybe Lenny Lowell had a connection to something big enough to be killed for. Parker begins a search for answers that will lead him to a killer—or the end of his career. Because if there's one lesson he's learned over the years, it's that in a town built on fantasy and fame, delivering the truth can be deadly.","['weddings', 'university', 'relationships', 'death', 'family', 'break ups', 'divorce', 'friendship']","[0.4443555176258087, 0.4406558871269226, 0.3821285367012024, 0.3506624400615692, 0.33913281559944153, 0.32166677713394165, 0.2963358461856842, 0.2609199583530426]"
22,"Eden’s life has taken a turn she would never have imagined. She’s gone from soul eater to warrior, left behind a family she was ashamed of and moved in with one she admires. She has a purpose, a future, and… she has Noah.Life should be good.But… the most fervent and powerful soul eaters are determined to take down the Ankh and Eden is the key to the destruction of the warrior race. Moreover, a shadowed enemy is still after Eden, and the mortal Warriors of Neith have chosen the worst time imaginable to start an uprising.With an enemy in every corner, the problems before her are overwhelming. Then again, Eden hasn’t come this far to let anyone snatch her new life from her… However, just when Eden thought she’d battled the monster within and won, the warrior who took something precious from her comes back into her life, tempting Eden to take a course of revenge there is no turning back from.A YA Paranormal Romance recommended for ages 16 and up.","['weddings', 'family', 'relationships', 'death', 'break ups', 'university', 'divorce', 'friendship']","[0.7034885883331299, 0.33107835054397583, 0.2935982644557953, 0.14654801785945892, 0.1177363246679306, 0.07448121905326843, 0.07139062136411667, 0.04227159172296524]"
23,"When a mysterious man orchestrates an attack on archaeologist Annja Creed and then offers her an assignment, Annja is baffl ed. But the mission is too intriguing for her to refuse. She must fi nd an object that possesses a sacred and powerful secret offering atonement to anyone who uncovers it—or wreaking havoc on the world.Stolen from an ancient order of knights, the relic is now in the clutches of a band of pirates sailing the South China Sea. When a government leader threatens to destroy the pirate ship—along with the artifact—rather than let it get into the wrong hands, Annja must decide at what cost the sacred prize should be protected. Destroying it would defi le history. But saving it could bring about apocalypse.","['weddings', 'relationships', 'death', 'family', 'university', 'break ups', 'divorce', 'friendship']","[0.6668910980224609, 0.5067643523216248, 0.3611096143722534, 0.15116479992866516, 0.11615266650915146, 0.04543052241206169, 0.026096895337104797, 0.020919818431138992]"
24,"Spice and Wolf is ten years old! To commemorate this anniversary, Yen Press is producing a lavish tome collecting all seventeen original volumes of Spice and Wolf. Beautifully bound and impressively designed to give the impression of a medieval manuscript, the book will also include all of illustrator Jyuu Ayakura's original illustrations. This book will be the crown jewel in any collector's library!","['weddings', 'relationships', 'divorce', 'family', 'university', 'friendship', 'break ups', 'death']","[0.6144715547561646, 0.6100577712059021, 0.5198444128036499, 0.4275362193584442, 0.13844332098960876, 0.07638378441333771, 0.019473662599921227, 0.016550010070204735]"
25,"The Rest of the Robots is the third timeless, amazing and amusing volume of Isaac Asimov's robot stories, offering golden insights into robot thought processes. Asimov's Three Laws of Robotics have since been programmed into real computers the Massachusetts Institute of Technology and used as the outline for a legal robotic charter in Korea. ROBOT TONY is the first robot designed to perform domestic duties by the US Robots and Mechanical Men Corporation. Is it Tony's fault that the lady of the house where he's field tested falls in love with him?ROBOT AL was intended for shipment to a mining outfit on the moon. Instead, he's loose in the mountains of Virginia...building from scraps of junk his very own, very dangerous disintegrator.ROBOT LENNY answers workaday questions in babytalk. So why is Dr Susan Calvin, the world's top robopsychologist, fascinated by this messed up specimen of an industrial robot?","['weddings', 'relationships', 'break ups', 'family', 'university', 'death', 'friendship', 'divorce']","[0.6497936844825745, 0.263994425535202, 0.1946338713169098, 0.18614561855793, 0.17911849915981293, 0.11612372100353241, 0.06718757748603821, 0.05589006841182709]"
26,"With the female master of the London Underground in her hands, stuntwoman-turned­vampire hunter Dawn Madison must fight off her followers, a vicious pack of undead teenage girls who put the vamps Dawn had to deal with in Los Angeles to shame...","['weddings', 'death', 'relationships', 'family', 'university', 'divorce', 'break ups', 'friendship']","[0.8385823965072632, 0.1282663345336914, 0.11374599486589432, 0.10493280738592148, 0.04847200959920883, 0.02014664188027382, 0.007021203637123108, 0.0026367090176790953]"
27,"When an unidentified “monster” threatens international shipping, French oceanographer Pierre Aronnax and his unflappable assistant Conseil join an expedition organized by the US Navy to hunt down and destroy the menace. After months of fruitless searching, they finally grapple with their quarry, but Aronnax, Conseil, and the brash Canadian harpooner Ned Land are thrown overboard in the attack, only to find that the “monster” is actually a futuristic submarine, the Nautilus, commanded by a shadowy, mystical, preternaturally imposing man who calls himself Captain Nemo. Thus begins a journey of 20,000 leagues—nearly 50,000 miles—that will take Captain Nemo, his crew, and these three adventurers on a journey of discovery through undersea forests, coral graveyards, miles-deep trenches, and even the sunken ruins of Atlantis. Jules Verne’s novel of undersea exploration has been captivating readers ever since its first publication in 1870, and Frederick Paul Walter’s reader-friendly, scientifically meticulous translation of this visionary science fiction classic is complete and unabridged down to the smallest substantive detail.","['relationships', 'weddings', 'divorce', 'university', 'family', 'break ups', 'friendship', 'death']","[0.6529597640037537, 0.6234182715415955, 0.6186977028846741, 0.3602234125137329, 0.309325635433197, 0.18275561928749084, 0.14783506095409393, 0.09394091367721558]"
28,"'""Watch out for the mosquitoes,"" they called to one another, lyrically because warning wasn't any use anyway, as they walked out of their kimonos and dropped them like the petals of one big scattered flower on the bank behind them, and exposing themselves felt in a hundred places at once the little pangs.'Moon Lake is the story of a summer camp in Mississippi, a surly lifeguard, a rebellious orphan girl, and the fateful day when they learn the secrets of life and death. Pulitzer Prize-winner Eudora Welty's extraordinary short story is a lushly atmospheric and acutely observed portrayal of the strange, surreal time between childhood and adulthood.","['weddings', 'relationships', 'family', 'friendship', 'university', 'death', 'break ups', 'divorce']","[0.7527084350585938, 0.4996292293071747, 0.43162453174591064, 0.35207805037498474, 0.15132100880146027, 0.10513782501220703, 0.0712374746799469, 0.057215604931116104]"
29,"Ben cannot keep his mind off of the handsome young man sitting at the back of his world literature class. He fantasizes and fantasizes, and then he acts. An amorous, hysterical, and unusual tale by the author of Nathan's Story and Atom Heart John Beloved.","['weddings', 'university', 'relationships', 'family', 'friendship', 'divorce', 'break ups', 'death']","[0.40462154150009155, 0.39469870924949646, 0.27836477756500244, 0.18134751915931702, 0.023577885702252388, 0.00881934817880392, 0.005079993046820164, 0.002753711538389325]"
30,"Librarian's note: This edition's ASIN is in conflict with The Starbirth Assignment: Shifter.This book is out of print. For the full edition, including both part 1 and 2 of The Starbirth Assignment, see The Starbirth Assignment: Shifter.Lock Harford is exposed to an unknown drug as a teenager in South America. Its unique effects draw the attention of British intelligence, who undertake Lock’s development. He has the ability to move his body through a different dimension using the power of thought. His enhanced senses detect living beings as energy pulses, making him invaluable to military and intelligence organisations. They employ him to work alongside elite taskforces, taking passengers using teleportation, ‘Shifting’ in and lifting operatives out of hostile situations. Lock’s handlers are put on red alert when a similar drug, Starbirth, appears in the United States and Britain sold as an illegal 'high'. Distribution spreads across the world and the results of a Starbirth pandemic are feared as criminal and insane teleporters (Shifters) wreak havoc. Lock and a small unit of covert operatives are given the task of finding the source of Starbirth and shutting it down, but their efforts are hindered by corrupt, ruthless people with their own agendas. Lock is joined in his quest by the powerful, infuriating and immensely likeable Jimmy Mackenzie, a Special Air Service trooper whose life is changed forever by events out of their control.In this first book in the Starbirth series, Jackie Johnson develops a brutal mix of suspense, humanity, command and action with a subtle vein of humour that keeps the reader rooting for Harford’s team. These books are crafted to stay with the reader long after the story is finished, a rare ability in these days of bubble gum fiction, and Starbirth sits confidently alongside the best Sci-fi thrillers. Her ability to merge Sci-fi and Special Forces intrigue are second to none. In true Lock Harford style, she infiltrates this Man’s World with impressive success.The series continues in the third book, The Shifter Dimension.","['weddings', 'divorce', 'university', 'relationships', 'family', 'break ups', 'friendship', 'death']","[0.4335234761238098, 0.42407846450805664, 0.4206714332103729, 0.39029380679130554, 0.2987501919269562, 0.29610079526901245, 0.2742772400379181, 0.2673499882221222]"
31,"An elusive Seer. A rogue wolf-shifter. If they can’t unite a divided kingdom, their world will be lost forever.After her father’s tragic demise, Maelona keeps her powers close and pushes everyone else away. So when visions of a dark sorcerer plague her remote Seer community, she’s horrified to learn the realm’s defenses are in danger. Tasked with an impossible mission to unite all paranormal beings in the fight against evil, she fears long-held divisions could spell their demise.  As she ventures through a sacred forest, Maelona fights her reclusive instincts to recruit a sensitive wolf-shifter with ties to her own dark past. But after encountering the bloody aftermath of demonic raids, she feels the dreaded prophecy at hand. And the time to forge alliances may have already slipped through her fingers… Will Maelona bring the realm together before a sinister foe divides and conquers? The Guardians of Eastgate is the first book in the action-packed Seers epic fantasy series. If you like mythical shifters, courageous heroes, and dark prophecies, then you’ll love Sherry Leclerc’s spellbinding adventure. Buy The Guardians of Eastgate to join the magical alliance today!","['weddings', 'divorce', 'family', 'break ups', 'university', 'relationships', 'friendship', 'death']","[0.8268236517906189, 0.8255855441093445, 0.8107007145881653, 0.7492930889129639, 0.7389085292816162, 0.7281715273857117, 0.7226529717445374, 0.7175312042236328]"
32,"For fans of Lemony Snicket s Series of Unfortunate Events and Trenton Lee Stewart s Mysterious Benedict Society comes the fourth book in the Incorrigible Children of Ashton Place, the acclaimed and hilarious Victorian mystery series by Maryrose Wood.In The Interrupted Tale, Miss Penelope Lumley receives an invitation to speak at the annual Celebrate Alumnae Knowledge Exposition (or CAKE) at the Swanburne Academy for Poor Bright Females. Optoomuchstic as ever, Penelope hopes to give her CAKE talk, see some old friends, and show off the Incorrigible children to Miss Mortimer, but instead she finds her beloved school in an uproar.And when Penelope is asked by the Swanburne Academy board of trustees to demonstrate the academic progress of her three wolfish students so the board can judge the true worth of a Swanburne education, the future of her alma mater and of her job as governess to the Incorrigibles hangs in the balance.","['weddings', 'relationships', 'family', 'university', 'break ups', 'death', 'divorce', 'friendship']","[0.8252122402191162, 0.7368665337562561, 0.2559540271759033, 0.1173434630036354, 0.07995320856571198, 0.06891119480133057, 0.047193627804517746, 0.036678679287433624]"
