,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,bookId,title,series,author,description,isbn,genres,pages,publishDate,Fiction,Young Adult,Childrens,New Adult,Fantasy,History,Dystopia,Manga,Thriller,Graphic Novels,Romance,tokens,university,relationships,break ups,divorce,wedding,death,family,friendship,Life Event Categories,University_T,Relationships_T,Break_ups_T,Divorce_T,Wedding_T,Moving_T,Coming_of_age_T,Death_T,Family_T,Friendship_T
27,27,6660,8829,18464372-her-forbidden-rockstar,Her Forbidden Rockstar,Forbidden Rockers #2,Sarah Robinson (Goodreads Author),"The second book in the Forbidden Rockers series from bestselling author Sarah Robinson, Her Forbidden Rocker is a gritty story of triumph and failure as one man risks everything he's ever worked for to have a chance at true love.  Logan Clay has never met a woman who wasn't only after the perks his rockstar life could provide, and there are a lot of perks. Women, money, fame...it's all he ever wanted.Until he meets Caroline Sanders. Not only does she want for nothing, but she doesn't want anything to do with him, period. He sure as hell wants her, but convincing her to take a chance on him requires risking everything he's ever worked for...including his music. It's a chance at a love he never thought he'd have.And a chance at freedom he's not sure he deserves.If only she'd say yes. DISCLAIMER: This book was originally published in September 2013 with the title ""Sand & Clay"" by Sarah Robinson. Since then it has been re-edited, a few short scenes here and there added in, and given a new title and a new cover in order to improve the novel. This is the OLD version. This novel is meant for 18+ years old.",9.78149E+12,"['Music', 'New Adult', 'Contemporary Romance']",,June 8th 2014,,,,New Adult,,,,,,,,"['second', 'book', 'forbidden', 'rockers', 'series', 'bestselling', 'author', 'sarah', 'robinson', 'forbidden', 'rocker', 'gritty', 'story', 'triumph', 'failure', 'one', 'man', 'risks', 'everything', 'hes', 'ever', 'worked', 'chance', 'true', 'love', 'logan', 'clay', 'never', 'met', 'woman', 'wasnt', 'perks', 'rockstar', 'life', 'could', 'provide', 'lot', 'perks', 'women', 'money', 'fameits', 'ever', 'wanteduntil', 'meets', 'caroline', 'sanders', 'want', 'nothing', 'doesnt', 'want', 'anything', 'period', 'sure', 'hell', 'wants', 'convincing', 'take', 'chance', 'requires', 'risking', 'everything', 'hes', 'ever', 'worked', 'forincluding', 'music', 'chance', 'love', 'never', 'thought', 'hed', 'haveand', 'chance', 'freedom', 'hes', 'sure', 'deservesif', 'shed', 'say', 'yes', 'disclaimer', 'book', 'originally', 'published', 'september', 'title', 'sand', 'clay', 'sarah', 'robinson', 'since', 'reedited', 'short', 'scenes', 'added', 'given', 'new', 'title', 'new', 'cover', 'order', 'improve', 'novel', 'old', 'version', 'novel', 'meant', 'years', 'old']",[],[],[],[],[],[],[],[],Romantic Relationships,,True,,,,,,,,
28,28,7024,9398,433035.Sad_Cypress,Sad Cypress,Hercule Poirot #22,Agatha Christie,"Beautiful young Elinor Carlisle stood serenely in the dock, accused of the murder of Mary Gerrard, her rival in love. The evidence was damning: only Elinor had the motive, the opportunity and the means to administer the fatal poison.Yet, inside the hostile courtroom, only one man still presumed Elinor was innocent until proven guilty: Hercule Poirot was all that stood between Elinor and the gallows...",9.78001E+12,"['Mystery', 'Fiction', 'Crime', 'Classics', 'Detective', 'Mystery Thriller', 'British Literature', 'Audiobook', 'Murder Mystery', 'Thriller']",336.0,September 1st 2001,Fiction,,,,,,,,Thriller,,,"['beautiful', 'young', 'elinor', 'carlisle', 'stood', 'serenely', 'dock', 'accused', 'murder', 'mary', 'gerrard', 'rival', 'love', 'evidence', 'damning', 'elinor', 'motive', 'opportunity', 'means', 'administer', 'fatal', 'poisonyet', 'inside', 'hostile', 'courtroom', 'one', 'man', 'still', 'presumed', 'elinor', 'innocent', 'proven', 'guilty', 'hercule', 'poirot', 'stood', 'elinor', 'gallows']",[],[],[],[],[],[],[],[],"Romantic Relationships, Death",,True,,,,,,True,,
29,29,7171,9603,6547563-fading-echoes,Fading Echoes,Warriors: Omen of the Stars #2,Erin Hunter,"After the sharp-eyed Jay and the roaring Lion, peace will come on Dove's gentle wing.Three ThunderClan cats, Jayfeather, Lionblaze, and Dovepaw, are prophesied to hold the power of the stars in their paws. Now they must work together to unravel the meaning behind the ancient words of the prophecy.As Jayfeather tackles his new responsibilities as the Clan's sole medicine cat and Lionblaze trains his apprentice in the ways of the warrior cats, Dovepaw hones her own unique ability and tries to use it for the good of ThunderClan. But the dark shadows that have preyed on the Clan for many moons still lurk just beyond the forest. Soon a mysterious visitor will walk in one cat's dreams, whispering promises of greatness, with results that will change the future of ThunderClan in ways that no cat could have foreseen.",9.78006E+12,"['Fantasy', 'Animals', 'Fiction', 'Middle Grade', 'Childrens', 'Cats', 'Young Adult', 'Adventure', 'Animal Fiction', 'Young Readers']",352.0,March 23rd 2010,Fiction,Young Adult,Childrens,,Fantasy,,,,,,,"['sharpeyed', 'jay', 'roaring', 'lion', 'peace', 'come', 'doves', 'gentle', 'wingthree', 'thunderclan', 'cats', 'jayfeather', 'lionblaze', 'dovepaw', 'prophesied', 'hold', 'power', 'stars', 'paws', 'must', 'work', 'together', 'unravel', 'meaning', 'behind', 'ancient', 'words', 'prophecyas', 'jayfeather', 'tackles', 'new', 'responsibilities', 'clans', 'sole', 'medicine', 'cat', 'lionblaze', 'trains', 'apprentice', 'ways', 'warrior', 'cats', 'dovepaw', 'hones', 'unique', 'ability', 'tries', 'use', 'good', 'thunderclan', 'dark', 'shadows', 'preyed', 'clan', 'many', 'moons', 'still', 'lurk', 'beyond', 'forest', 'soon', 'mysterious', 'visitor', 'walk', 'one', 'cats', 'dreams', 'whispering', 'promises', 'greatness', 'results', 'change', 'future', 'thunderclan', 'ways', 'cat', 'could', 'foreseen']",[],[],[],[],[],[],[],[],Friendship,,,,,,,,,,True
30,30,7632,10249,17397495-pieces-of-you,Pieces of You,Shattered Hearts #3,Cassia Leo (Goodreads Author),"The stunning continuation of the New York Times and USA Today bestselling series.""Sometimes, the lies we tell ourselves are more destructive than the truth we hide from others.""In Relentless, college student Claire Nixon and surfer Adam Parker each had a painful past too heavy to carry alone. Claire tried to push Adam away, but Adam's relentless pursuit of her heart and her secrets made her walls come crumbling down.But now Claire's attending college a hundred miles away from Adam. With their new relationship already hanging by a thread, Adam is sent to Hawaii on business.And Claire's first love, rock star Chris Knight, is back in her life.Chris wants his ex-girlfriend back. Both he and Claire know that only Chris has the power to mend the final missing piece of Claire's shattered heart. But Claire's strength is tested as she is forced to confront the demons she's been running from for more than a year.Now Claire must choose between a long-distance relationship with Adam and a second chance at love, family, and home with Chris.",1.23E+12,"['Romance', 'New Adult', 'Contemporary Romance', 'College', 'Contemporary', 'Young Adult', 'Drama', 'Music', 'Love', 'Chick Lit']",322.0,May 3rd 2013,,Young Adult,,New Adult,,,,,,,Romance,"['stunning', 'continuation', 'new', 'york', 'times', 'usa', 'today', 'bestselling', 'seriessometimes', 'lies', 'tell', 'destructive', 'truth', 'hide', 'othersin', 'relentless', 'college', 'student', 'claire', 'nixon', 'surfer', 'adam', 'parker', 'painful', 'past', 'heavy', 'carry', 'alone', 'claire', 'tried', 'push', 'adam', 'away', 'adams', 'relentless', 'pursuit', 'heart', 'secrets', 'made', 'walls', 'come', 'crumbling', 'downbut', 'claires', 'attending', 'college', 'hundred', 'miles', 'away', 'adam', 'new', 'relationship', 'already', 'hanging', 'thread', 'adam', 'sent', 'hawaii', 'businessand', 'claires', 'first', 'love', 'rock', 'star', 'chris', 'knight', 'back', 'lifechris', 'wants', 'exgirlfriend', 'back', 'claire', 'know', 'chris', 'power', 'mend', 'final', 'missing', 'piece', 'claires', 'shattered', 'heart', 'claires', 'strength', 'tested', 'forced', 'confront', 'demons', 'shes', 'running', 'yearnow', 'claire', 'must', 'choose', 'longdistance', 'relationship', 'adam', 'second', 'chance', 'love', 'family', 'home', 'chris']",['college'],['relationship'],[],[],[],[],['family'],[],"University, Romantic Relationships, Break Ups, Family Relationships",True,True,True,False,,,,,True,
31,31,7793,10471,12577.The_Collected_Stories,The Collected Stories,,Eudora Welty,"With a preface written by the author especially for this edition, this is the complete collection of stories by Eudora Welty.   Including the earlier collections A Curtain of Green, The Wide Net, The Golden Apples, and The Bride of the Innisfallen, as well as previously uncollected ones, these forty-one stories demonstrate Eudora Welty's talent for writing from diverse points-of-view with “vision that is sweet by nature, always humanizing, uncannily objective, but never angry” (Washington Post).A curtain of green and other stories.Lily Daw and the three ladies --A piece of news --Petrified man --The key --Keela, the outcast Indian maiden --Why I live at the P.O. --The whistle --The hitch-hikers --A memory --Clytie --Old Mr. Marblehall --Flowers for Marjorie --A curtain of green --A visit of charity --Death of a traveling salesman --Powerhouse --A worn path --The wide net and other stories.First love --The wide net --A still moment --Asphodel --The winds --The purple hat --Livvie --At the landing --The golden apples.Shower of gold --June recital --Sir Rabbit --Moon Lake --The whole world knows --Music from Spain --The wanderers --The bride of the Innisfallen and other stories.No place for you, my love --The burning --The bride of the Innisfallen --Ladies in spring --Circe --Kin --Going to Naples --Uncollected stories.Where is the voice coming from? --The demonstrators.",9.78016E+12,"['Short Stories', 'Fiction', 'Classics', 'Southern', 'Literature', 'Southern Gothic', 'American', '20th Century', 'Literary Fiction', 'Womens']",622.0,February 1st 1982,Fiction,,,,,,,,,,,"['preface', 'written', 'author', 'especially', 'edition', 'complete', 'collection', 'stories', 'eudora', 'welty', 'including', 'earlier', 'collections', 'curtain', 'green', 'wide', 'net', 'golden', 'apples', 'bride', 'innisfallen', 'well', 'previously', 'uncollected', 'ones', 'fortyone', 'stories', 'demonstrate', 'eudora', 'weltys', 'talent', 'writing', 'diverse', 'pointsofview', 'vision', 'sweet', 'nature', 'always', 'humanizing', 'uncannily', 'objective', 'never', 'angry', 'washington', 'posta', 'curtain', 'green', 'storieslily', 'daw', 'three', 'ladies', 'piece', 'news', 'petrified', 'man', 'key', 'keela', 'outcast', 'indian', 'maiden', 'live', 'po', 'whistle', 'hitchhikers', 'memory', 'clytie', 'old', 'mr', 'marblehall', 'flowers', 'marjorie', 'curtain', 'green', 'visit', 'charity', 'death', 'traveling', 'salesman', 'powerhouse', 'worn', 'path', 'wide', 'net', 'storiesfirst', 'love', 'wide', 'net', 'still', 'moment', 'asphodel', 'winds', 'purple', 'hat', 'livvie', 'landing', 'golden', 'applesshower', 'gold', 'june', 'recital', 'sir', 'rabbit', 'moon', 'lake', 'whole', 'world', 'knows', 'music', 'spain', 'wanderers', 'bride', 'innisfallen', 'storiesno', 'place', 'love', 'burning', 'bride', 'innisfallen', 'ladies', 'spring', 'circe', 'kin', 'going', 'naples', 'uncollected', 'storieswhere', 'voice', 'coming', 'demonstrators']",[],[],[],[],[],['death'],[],[],None,False,False,False,False,False,,False,False,False,False
32,32,7867,10584,68095.Through_a_Glass_Darkly,"Through a Glass, Darkly",Commissario Brunetti #15,Donna Leon,"Donna Leon opens doors to the hidden Venice like no one else. With her latest novel, Through a Glass, Darkly, Leon takes us inside the secretive island of Murano, home of the world-famous glass factories. On a luminous spring day in Venice, Commissario Brunetti and his assistant Vianello play hooky from the Questura in order to help Vianello's friend Marco Ribetti, arrested during an environmental protest. They secure his release, only to be faced by the fury of the man's father-in-law, Giovanni De Cal, a cantankerous glass factory owner who has been heard in the bars of Murano making violent threats about Ribetti. Brunetti's curiosity is piqued, and he finds himself drawn to Murano to investigate. Is De Cal the type of man to carry out his threats? Then one morning the body of De Cal's night watchman is found. Over long lunches, on secret boat rides, in quiet bars, and down narrow streets, Brunetti searches for the killer. Will he unravel the clues before the night watchman's death is allowed to be forgotten?A fascinating novel set in the intersection between tourism and native Venetian society, Through a Glass, Darkly is Donna Leon at her finest.",9.78087E+12,"['Mystery', 'Fiction', 'Italy', 'Crime', 'Mystery Thriller', 'Audiobook', 'Thriller', 'Detective', 'Contemporary', 'Police']",256.0,March 27th 2006,Fiction,,,,,,,,Thriller,,,"['donna', 'leon', 'opens', 'doors', 'hidden', 'venice', 'like', 'one', 'else', 'latest', 'novel', 'glass', 'darkly', 'leon', 'takes', 'us', 'inside', 'secretive', 'island', 'murano', 'home', 'worldfamous', 'glass', 'factories', 'luminous', 'spring', 'day', 'venice', 'commissario', 'brunetti', 'assistant', 'vianello', 'play', 'hooky', 'questura', 'order', 'help', 'vianellos', 'friend', 'marco', 'ribetti', 'arrested', 'environmental', 'protest', 'secure', 'release', 'faced', 'fury', 'mans', 'fatherinlaw', 'giovanni', 'de', 'cal', 'cantankerous', 'glass', 'factory', 'owner', 'heard', 'bars', 'murano', 'making', 'violent', 'threats', 'ribetti', 'brunettis', 'curiosity', 'piqued', 'finds', 'drawn', 'murano', 'investigate', 'de', 'cal', 'type', 'man', 'carry', 'threats', 'one', 'morning', 'body', 'de', 'cals', 'night', 'watchman', 'found', 'long', 'lunches', 'secret', 'boat', 'rides', 'quiet', 'bars', 'narrow', 'streets', 'brunetti', 'searches', 'killer', 'unravel', 'clues', 'night', 'watchmans', 'death', 'allowed', 'forgottena', 'fascinating', 'novel', 'set', 'intersection', 'tourism', 'native', 'venetian', 'society', 'glass', 'darkly', 'donna', 'leon', 'finest']",[],[],[],[],[],['death'],[],['friend'],None,False,False,False,False,False,,False,False,False,False
33,33,8261,11139,9260806-jonbull-s-stock-guide,Jonbull’s Stock Guide,,J.P. Obienugh,"With the global financial markets in turmoil, the new age investor on a quest for profit needs a simplified guide for charting through a stock market beset with volatility. Jonbull's Stock Guide is timely and vividly written for those astute investors willing to take advantage of beaten down value stocks at great bargains for long term profit. It contains investment strategies that were inspired by the world's finest investors, tips, fundamental guidelines, frequently asked questions and a rich glossary of investment terms that will aid and keep you well ahead of the market. For those of you who have been actively participating in the stock market, investing and reaping all of its full benefits or taking losses here and there, you might think that you have heard, seen, and done it all. Nevertheless, is that really the case? As an active player in the stock market, the author often discovers new ways of investing in the market. Superb ideas that make him think about profiting from timeless investment strategies that are way outside the prevailing and sometimes, speculative norms. Jonbull's Stock Guide outlines everything that an average investor needs to stay well ahead of the stock market in troubled times.",9.78143E+12,['Business'],560.0,September 7th 2010,,,,,,,,,,,,"['global', 'financial', 'markets', 'turmoil', 'new', 'age', 'investor', 'quest', 'profit', 'needs', 'simplified', 'guide', 'charting', 'stock', 'market', 'beset', 'volatility', 'jonbulls', 'stock', 'guide', 'timely', 'vividly', 'written', 'astute', 'investors', 'willing', 'take', 'advantage', 'beaten', 'value', 'stocks', 'great', 'bargains', 'long', 'term', 'profit', 'contains', 'investment', 'strategies', 'inspired', 'worlds', 'finest', 'investors', 'tips', 'fundamental', 'guidelines', 'frequently', 'asked', 'questions', 'rich', 'glossary', 'investment', 'terms', 'aid', 'keep', 'well', 'ahead', 'market', 'actively', 'participating', 'stock', 'market', 'investing', 'reaping', 'full', 'benefits', 'taking', 'losses', 'might', 'think', 'heard', 'seen', 'done', 'nevertheless', 'really', 'case', 'active', 'player', 'stock', 'market', 'author', 'often', 'discovers', 'new', 'ways', 'investing', 'market', 'superb', 'ideas', 'make', 'think', 'profiting', 'timeless', 'investment', 'strategies', 'way', 'outside', 'prevailing', 'sometimes', 'speculative', 'norms', 'jonbulls', 'stock', 'guide', 'outlines', 'everything', 'average', 'investor', 'needs', 'stay', 'well', 'ahead', 'stock', 'market', 'troubled', 'times']",[],[],[],[],[],[],[],[],None,False,False,False,False,False,,False,False,False,False
34,34,8408,11429,22537313-allegiant,Allegiant: The Ultimate Interactive Quiz Book (Divergent Series Quiz Books 3),,Sarah Davids (Goodreads Author),"Allegiant is the third book in the Divergent Series (Divergent, Insurgent, Allegiant) by Veronica Roth.This truly unique interactive quiz book game is the perfect addition to your reading enjoyment of this dystopian classic.
  ""I don't have a clue how you turned my book reading device into a game, but I loved it. You're a genius in my book"".
Kathryn Cooper (KatherineCooperWrites.com)You may think you know all about the factions (Abnegation, Dauntless, Erudite, Amity & Candor) including symbols, values & mottos?You may think you know the characteristics & what happens with of all of the characters?BUT, how much do you really know?For example,Who do the Allegiant rise up against?1) The Fringe2) Evelyn's factionless army3) The Dauntless4) The AmityWho gets fatally injured by the compound explosion set off by Nita?1) Uriah2) Tobias3) Matthew4) CalebThere are 10 sections to this quiz. Each section automatic counts your score as you go. If you guess wrong, then you have the option of cheating by going back (you'll be supplied with a clue) or you can continue ahead.I know you'll like the quiz so much that I'm even offering another one absolutely free which you can access just by looking in the 'Look Inside' feature of Amazon. This amazing quiz book is really a must if you are a true fan of this spectacular post-apocalyptic novel - Allegiant.",B00L2IZ3WE,"['Dystopia', 'Young Adult', 'Action', 'Science Fiction']",,June 16th 2014,,Young Adult,,,,,Dystopia,,,,,"['allegiant', 'third', 'book', 'divergent', 'series', 'divergent', 'insurgent', 'allegiant', 'veronica', 'roththis', 'truly', 'unique', 'interactive', 'quiz', 'book', 'game', 'perfect', 'addition', 'reading', 'enjoyment', 'dystopian', 'classic', 'dont', 'clue', 'turned', 'book', 'reading', 'device', 'game', 'loved', 'youre', 'genius', 'bookkathryn', 'cooper', 'katherinecooperwritescomyou', 'may', 'think', 'know', 'factions', 'abnegation', 'dauntless', 'erudite', 'amity', 'candor', 'including', 'symbols', 'values', 'mottosyou', 'may', 'think', 'know', 'characteristics', 'happens', 'charactersbut', 'much', 'really', 'knowfor', 'examplewho', 'allegiant', 'rise', 'fringe', 'evelyns', 'factionless', 'army', 'dauntless', 'amitywho', 'gets', 'fatally', 'injured', 'compound', 'explosion', 'set', 'nita', 'uriah', 'tobias', 'matthew', 'calebthere', 'sections', 'quiz', 'section', 'automatic', 'counts', 'score', 'go', 'guess', 'wrong', 'option', 'cheating', 'going', 'back', 'youll', 'supplied', 'clue', 'continue', 'aheadi', 'know', 'youll', 'like', 'quiz', 'much', 'im', 'even', 'offering', 'another', 'one', 'absolutely', 'free', 'access', 'looking', 'look', 'inside', 'feature', 'amazon', 'amazing', 'quiz', 'book', 'really', 'must', 'true', 'fan', 'spectacular', 'postapocalyptic', 'novel', 'allegiant']",[],[],[],[],[],[],[],[],None,False,False,False,False,False,,False,False,False,False
35,35,8952,12363,34433755-girls-of-paper-and-fire,Girls of Paper and Fire,Girls of Paper and Fire #1,"Natasha Ngan (Goodreads Author), James Patterson (Goodreads Author) (Foreword)","Each year, eight beautiful girls are chosen as Paper Girls to serve the king. It's the highest honor they could hope for...and the most demeaning. This year, there's a ninth. And instead of paper, she's made of fire.In this richly developed fantasy, Lei is a member of the Paper caste, the lowest and most persecuted class of people in Ikhara. She lives in a remote village with her father, where the decade-old trauma of watching her mother snatched by royal guards for an unknown fate still haunts her. Now, the guards are back and this time it's Lei they're after -- the girl with the golden eyes whose rumored beauty has piqued the king's interest.Over weeks of training in the opulent but oppressive palace, Lei and eight other girls learns the skills and charm that befit a king's consort. There, she does the unthinkable -- she falls in love. Her forbidden romance becomes enmeshed with an explosive plot that threatens her world's entire way of life. Lei, still the wide-eyed country girl at heart, must decide how far she's willing to go for justice and revenge.",9.78032E+12,"['Fantasy', 'Young Adult', 'LGBT', 'Romance', 'Young Adult Fantasy', 'Fiction', 'Queer', 'Audiobook', 'High Fantasy', 'Magic']",385.0,November 6th 2018,Fiction,Young Adult,,,Fantasy,,,,,,Romance,"['year', 'eight', 'beautiful', 'girls', 'chosen', 'paper', 'girls', 'serve', 'king', 'highest', 'honor', 'could', 'hope', 'forand', 'demeaning', 'year', 'theres', 'ninth', 'instead', 'paper', 'shes', 'made', 'firein', 'richly', 'developed', 'fantasy', 'lei', 'member', 'paper', 'caste', 'lowest', 'persecuted', 'class', 'people', 'ikhara', 'lives', 'remote', 'village', 'father', 'decadeold', 'trauma', 'watching', 'mother', 'snatched', 'royal', 'guards', 'unknown', 'fate', 'still', 'haunts', 'guards', 'back', 'time', 'lei', 'theyre', 'girl', 'golden', 'eyes', 'whose', 'rumored', 'beauty', 'piqued', 'kings', 'interestover', 'weeks', 'training', 'opulent', 'oppressive', 'palace', 'lei', 'eight', 'girls', 'learns', 'skills', 'charm', 'befit', 'kings', 'consort', 'unthinkable', 'falls', 'love', 'forbidden', 'romance', 'becomes', 'enmeshed', 'explosive', 'plot', 'threatens', 'worlds', 'entire', 'way', 'life', 'lei', 'still', 'wideeyed', 'country', 'girl', 'heart', 'must', 'decide', 'far', 'shes', 'willing', 'go', 'justice', 'revenge']",[],['romance'],[],[],[],[],"['father', 'mother']",[],"Family Relationships, Romantic Relationships",,True,,,,,,,True,
36,36,9398,13089,164236.Paint_the_Wind,Paint the Wind,,Cathy Cash Spellman (Goodreads Author),"Born Françoise Deverell of the Deverells of Louisiana, everyone calls her Fancy. In one night of blood and tears her past will vanish and she will begin an unforgettable journey of the heart.Too beautiful to be innocent, she will be swept into the relentless rhythms of a nation hungry for adventure. Her fortune is bound to the West...untamed, dangerous, and golden with promise. A woman able to steal away a man's breath -- and his reason -- she wants more than love. She wants passion, power, and all the wealth of her dreams. And Fancy Deverell is riding hell-for-leather to have it.",9.78044E+12,"['Romance', 'Historical Romance', 'Historical Fiction', 'Historical', 'Fiction', 'Westerns', 'Epic', 'Adventure', 'Western Romance']",814.0,January 1st 1991,Fiction,,,,,,,,,,Romance,"['born', 'franoise', 'deverell', 'deverells', 'louisiana', 'everyone', 'calls', 'fancy', 'one', 'night', 'blood', 'tears', 'past', 'vanish', 'begin', 'unforgettable', 'journey', 'hearttoo', 'beautiful', 'innocent', 'swept', 'relentless', 'rhythms', 'nation', 'hungry', 'adventure', 'fortune', 'bound', 'westuntamed', 'dangerous', 'golden', 'promise', 'woman', 'able', 'steal', 'away', 'mans', 'breath', 'reason', 'wants', 'love', 'wants', 'passion', 'power', 'wealth', 'dreams', 'fancy', 'deverell', 'riding', 'hellforleather']",[],[],[],[],[],[],[],[],Romantic Relationships,,True,,,,,,,,
37,37,9892,13841,14428.The_Inheritors,The Inheritors,,William Golding,"When the spring came the people - what was left of them - moved back by the old paths from the sea. But this year strange things were happening, terrifying things that had never happened before. Inexplicable sounds and smells; new, unimaginable creatures half glimpsed through the leaves. What the people didn't, and perhaps never would, know, was that the day of their people was already over.From the author of Lord of the Flies, The Inheritors is a startling recreation of the lost world of the Neanderthals, and a frightening vision of the beginning of a new age.",9.78016E+12,"['Fiction', 'Historical Fiction', 'Classics', 'Literature', 'Science Fiction', 'Historical', 'Novels', 'Fantasy', 'Prehistory', '20th Century']",240.0,September 25th 1963,Fiction,,,,Fantasy,,,,,,,"['spring', 'came', 'people', 'left', 'moved', 'back', 'old', 'paths', 'sea', 'year', 'strange', 'things', 'happening', 'terrifying', 'things', 'never', 'happened', 'inexplicable', 'sounds', 'smells', 'new', 'unimaginable', 'creatures', 'half', 'glimpsed', 'leaves', 'people', 'didnt', 'perhaps', 'never', 'would', 'know', 'day', 'people', 'already', 'overfrom', 'author', 'lord', 'flies', 'inheritors', 'startling', 'recreation', 'lost', 'world', 'neanderthals', 'frightening', 'vision', 'beginning', 'new', 'age']",[],[],[],[],[],[],[],[],None,False,False,False,False,False,,False,False,False,False
38,38,10068,14111,15842230-the-forgotten,The Forgotten,John Puller #2,David Baldacci (Goodreads Author),"In Paradise, nothing is what it seems...Army Special Agent John Puller is the best there is. A combat veteran, Puller is the man the U.S. Army relies on to investigate the toughest crimes facing the nation. Now he has a new case-but this time, the crime is personal: His aunt has been found dead in Paradise, Florida.A picture-perfect town on Florida's Gulf Coast, Paradise thrives on the wealthy tourists and retirees drawn to its gorgeous weather and beaches. The local police have ruled his aunt's death an unfortunate, tragic accident. But just before she died, she mailed a letter to Puller's father, telling him that beneath its beautiful veneer, Paradise is not all it seems to be.What Puller finds convinces him that his aunt's death was no accident . . . and that the palm trees and sandy beaches of Paradise may hide a conspiracy so shocking that some will go to unthinkable lengths to make sure the truth is never revealed.",9.78045E+12,"['Thriller', 'Fiction', 'Mystery', 'Crime', 'Suspense', 'Audiobook', 'Mystery Thriller', 'Action', 'Military Fiction', 'Adult']",422.0,November 20th 2012,Fiction,,,,,,,,Thriller,,,"['paradise', 'nothing', 'seemsarmy', 'special', 'agent', 'john', 'puller', 'best', 'combat', 'veteran', 'puller', 'man', 'us', 'army', 'relies', 'investigate', 'toughest', 'crimes', 'facing', 'nation', 'new', 'casebut', 'time', 'crime', 'personal', 'aunt', 'found', 'dead', 'paradise', 'floridaa', 'pictureperfect', 'town', 'floridas', 'gulf', 'coast', 'paradise', 'thrives', 'wealthy', 'tourists', 'retirees', 'drawn', 'gorgeous', 'weather', 'beaches', 'local', 'police', 'ruled', 'aunts', 'death', 'unfortunate', 'tragic', 'accident', 'died', 'mailed', 'letter', 'pullers', 'father', 'telling', 'beneath', 'beautiful', 'veneer', 'paradise', 'seems', 'bewhat', 'puller', 'finds', 'convinces', 'aunts', 'death', 'accident', 'palm', 'trees', 'sandy', 'beaches', 'paradise', 'may', 'hide', 'conspiracy', 'shocking', 'go', 'unthinkable', 'lengths', 'make', 'sure', 'truth', 'never', 'revealed']",[],[],[],[],[],['death'],['father'],[],Death,,,,,,,,True,,
39,39,10532,14769,147210.Tishomingo_Blues,Tishomingo Blues,,Elmore Leonard,"Daredevil Dennis Lenahan has brought his act to the Tishomingo Lodge & Casino in Tunica, Mississippi -- diving off an eighty-foot ladder into nine feet of water for the amusement of gamblers, gangsters, and luscious belles. His riskiest feat, however, was witnessing a Dixie-style mob execution while atop his diving platform. Robert Taylor saw the hit also. A blues-loving Detroit hustler touring the Southland in a black Jaguar, Taylor's got his own secret agenda re the ""Cornbread Cosa Nostra,"" and he wants Dennis in on the game. But there's a lot more in Robert Taylor's pocket than a photo of his lynched great-grandfather. And high-diver Dennis could be about to take a long, fatal fall -- right into a mess of hoop skirts, Civil War play-acting ... and more trouble than he ever dreamed possible.",9.78014E+12,"['Fiction', 'Crime', 'Mystery', 'Thriller', 'Suspense', 'Detective', 'Relationships', 'Literary Fiction', 'Mystery Thriller', 'Noir']",416.0,February 6th 2003,Fiction,,,,,,,,Thriller,,,"['daredevil', 'dennis', 'lenahan', 'brought', 'act', 'tishomingo', 'lodge', 'casino', 'tunica', 'mississippi', 'diving', 'eightyfoot', 'ladder', 'nine', 'feet', 'water', 'amusement', 'gamblers', 'gangsters', 'luscious', 'belles', 'riskiest', 'feat', 'however', 'witnessing', 'dixiestyle', 'mob', 'execution', 'atop', 'diving', 'platform', 'robert', 'taylor', 'saw', 'hit', 'also', 'bluesloving', 'detroit', 'hustler', 'touring', 'southland', 'black', 'jaguar', 'taylors', 'got', 'secret', 'agenda', 'cornbread', 'cosa', 'nostra', 'wants', 'dennis', 'game', 'theres', 'lot', 'robert', 'taylors', 'pocket', 'photo', 'lynched', 'greatgrandfather', 'highdiver', 'dennis', 'could', 'take', 'long', 'fatal', 'fall', 'right', 'mess', 'hoop', 'skirts', 'civil', 'war', 'playacting', 'trouble', 'ever', 'dreamed', 'possible']",[],[],[],[],[],[],[],[],None,False,False,False,False,False,,False,False,False,False
